No,Heartbeat,Temperature,Spo2,UserCode,GyroX,GyroY,GyroZ,Time,Label
1,142,36.7,98,27,2.6,9.66,1.0351465,1.24E+13,Sitting
2,141,36.6,98,27,2.68,9.53,0.50395286,1.24E+13,Sitting
3,128,36.8,97,27,3.49,8.89,0.7627395,1.24E+13,Sitting
4,133,36.8,99,27,3.64,9.38,0.92618364,1.24E+13,Sitting
5,137,36.7,96,27,2.91,9.34,1.0351465,1.24E+13,Sitting
6,134,36.7,95,27,3.15,9.43,0.88532263,1.24E+13,Sitting
7,139,36.7,98,27,3.15,9.53,0.84446156,1.24E+13,Sitting
8,140,36.8,97,27,2.91,9.72,0.84446156,1.24E+13,Sitting
9,132,36.7,96,27,3.21,9.38,0.92618364,1.24E+13,Sitting
10,135,36.8,95,27,3.15,9.43,0.7627395,1.24E+13,Sitting
11,129,36.7,97,27,3.02,9.51,0.42223078,1.24E+13,Sitting
12,139,36.7,96,27,2.68,9.15,1.1441092,1.24E+13,Sitting
13,134,36.7,96,27,1.84,9.62,1.6480621,1.24E+13,Sitting
14,135,36.8,95,27,2.79,9.23,1.7297841,1.24E+13,Sitting
15,130,36.7,98,27,2.6,9.51,1.0351465,1.24E+13,Sitting
16,128,36.6,95,27,2.83,9.38,1.0760075,1.24E+13,Sitting
17,135,36.7,99,27,2.96,9.34,1.2666923,1.24E+13,Sitting
18,134,36.8,95,27,2.87,9.47,1.3756552,1.24E+13,Sitting
19,138,36.7,98,27,2.96,9.34,1.334794,1.24E+13,Sitting
20,128,36.8,99,27,3.41,9.34,0.92618364,1.24E+13,Sitting
21,129,36.7,99,27,3.26,9.28,1.1849703,1.24E+13,Sitting
22,142,36.6,96,27,2.91,9.43,1.3075534,1.24E+13,Sitting
23,137,36.7,96,27,3.06,9.7,1.6889231,1.24E+13,Sitting
24,135,36.7,97,27,3.3,9,1.6480621,1.24E+13,Sitting
25,129,36.7,96,27,2.87,9.08,0.7627395,1.24E+13,Sitting
26,129,36.8,98,27,3.45,9,1.2258313,1.24E+13,Sitting
27,140,36.6,95,27,3.34,9.53,1.9885708,1.24E+13,Sitting
28,139,36.8,99,27,2.22,9.58,1.2666923,1.24E+13,Sitting
29,138,36.7,99,27,3.3,9.08,1.2666923,1.24E+13,Sitting
30,137,36.7,98,27,3.38,9.19,1.3756552,1.24E+13,Sitting
31,133,36.6,95,27,2.79,9.47,1.4573772,1.24E+13,Sitting
32,129,36.8,95,27,3.11,9.3,1.4573772,1.24E+13,Sitting
33,141,36.8,99,27,3.11,9.28,1.2666923,1.24E+13,Sitting
34,132,36.7,99,27,3.26,9.23,1.3756552,1.24E+13,Sitting
35,128,36.8,97,27,3.06,9.3,1.334794,1.24E+13,Sitting
36,142,36.8,96,27,2.98,9.38,1.3756552,1.24E+13,Sitting
37,136,36.6,99,27,3.15,9.23,1.334794,1.24E+13,Sitting
38,141,36.7,95,27,3.17,9.23,1.334794,1.24E+13,Sitting
39,136,36.7,95,27,3.11,9.34,1.4573772,1.24E+13,Sitting
40,129,36.7,96,27,3.02,9.28,1.2666923,1.24E+13,Sitting
41,135,36.7,96,27,3.11,9.28,1.2666923,1.24E+13,Sitting
42,135,36.7,95,27,3.15,9.28,1.3756552,1.24E+13,Sitting
43,133,36.7,97,27,3.11,9.28,1.3075534,1.24E+13,Sitting
44,136,36.6,95,27,3.21,9.23,1.3075534,1.24E+13,Sitting
45,137,36.7,97,27,3.02,9.38,1.334794,1.24E+13,Sitting
46,139,36.7,97,27,3.15,9.23,1.334794,1.24E+13,Sitting
