No,Heartbeat,Temperature,Spo2,UserCode,GyroX,GyroY,GyroZ,Time,Label
1,136,36.5,95,27,-1.88,9.85,-0.23154591,1.25E+13,Standing
2,128,36.7,98,27,-0.19,9.92,-0.5720546,1.25E+13,Standing
3,130,36.6,98,27,-0.61,10.27,-0.88532263,1.25E+13,Standing
4,136,36.7,97,27,0.76,10.57,-1.7570249,1.25E+13,Standing
5,129,36.6,99,27,0.42,9.47,-1.1168685,1.25E+13,Standing
6,128,36.5,97,27,0.38,9.47,-1.9477097,1.25E+13,Standing
7,135,36.7,98,27,-1.04,10.65,-1.525479,1.25E+13,Standing
8,140,36.6,96,27,-1.92,9.51,-0.5720546,1.25E+13,Standing
9,139,36.7,98,27,-1.31,9.85,-0.53119355,1.25E+13,Standing
10,133,36.7,95,27,-0.08,9.92,-1.7570249,1.25E+13,Standing
11,138,36.7,95,27,1.73,9.77,-0.8036005,1.25E+13,Standing
12,134,36.6,99,27,1.5,9.92,-1.4573772,1.25E+13,Standing
13,134,36.6,99,27,1.27,10.5,-1.879608,1.25E+13,Standing
14,139,36.6,98,27,0.61,10.12,-1.9885708,1.25E+13,Standing
15,135,36.6,99,27,-0.53,9.77,-1.879608,1.25E+13,Standing
16,128,36.6,95,27,-0.42,9.62,-1.6480621,1.25E+13,Standing
17,132,36.6,98,27,0.65,10.42,-2.2201166,1.25E+13,Standing
18,133,36.5,97,27,0.65,10.42,-2.2201166,1.25E+13,Standing
19,137,36.5,95,27,1.61,9.38,-1.8387469,1.25E+13,Standing
20,138,36.5,96,27,1.61,9.43,-1.525479,1.25E+13,Standing
21,132,36.5,99,27,1.61,9.43,-1.525479,1.25E+13,Standing
22,128,36.6,96,27,0.95,10.27,-1.3075534,1.25E+13,Standing
23,139,36.7,97,27,0.19,10.38,-1.1849703,1.25E+13,Standing
24,128,36.7,99,27,0.31,9.81,-1.4165162,1.25E+13,Standing
25,132,36.7,96,27,1.12,9.62,-1.6889231,1.25E+13,Standing
26,135,36.6,97,27,1.23,9.85,-1.6480621,1.25E+13,Standing
27,136,36.6,97,27,1.04,9.7,-1.8387469,1.25E+13,Standing
28,129,36.6,98,27,0.57,9.89,-2.0294318,1.25E+13,Standing
29,130,36.5,95,27,0.65,9.96,-1.9885708,1.25E+13,Standing
30,142,36.6,98,27,0.95,9.96,-1.7570249,1.25E+13,Standing
31,139,36.5,98,27,1.42,10,-1.7297841,1.25E+13,Standing
32,132,36.5,96,27,1.69,9.89,-1.525479,1.25E+13,Standing
33,131,36.7,97,27,1.46,10,-1.4165162,1.25E+13,Standing
34,129,36.5,95,27,0.69,9.77,-1.6889231,1.25E+13,Standing
35,136,36.5,96,27,0.08,9.96,-1.9477097,1.25E+13,Standing
36,136,36.6,98,27,-0.08,10.19,-2.1111538,1.25E+13,Standing
37,129,36.6,99,27,0.38,9.72,-1.9885708,1.25E+13,Standing
38,136,36.7,98,27,0.93,10.12,-2.1111538,1.25E+13,Standing
39,133,36.6,99,27,1.33,9.62,-1.9885708,1.25E+13,Standing
40,138,36.6,96,27,1.08,9.85,-1.9477097,1.25E+13,Standing
